DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO. OF  TRADES
01-Jan-2024,EQ,"140.00","140.95","139.05","139.60","139.70","139.85","140.16","141.25","101.55",21186105,"2,96,94,70,656.95",187550
29-Dec-2023,EQ,"138.60","141.25","137.15","138.15","139.30","139.60","139.52","141.25","101.55",49202910,"6,86,49,63,120.60",234503
28-Dec-2023,EQ,"138.15","138.75","136.85","137.20","138.25","138.15","137.88","138.90","101.55",34661176,"4,77,91,01,020.60",215436
27-Dec-2023,EQ,"135.85","138.90","135.50","135.20","137.00","137.20","137.40","138.90","101.55",48101400,"6,60,92,21,199.10",240022
26-Dec-2023,EQ,"134.70","136.10","134.45","133.55","135.40","135.20","135.43","137.60","101.55",25936447,"3,51,24,75,189.45",182329
22-Dec-2023,EQ,"132.40","134.75","131.75","131.00","133.45","133.55","133.44","137.60","101.55",37357334,"4,98,48,74,945.75",213314
21-Dec-2023,EQ,"128.70","131.45","127.85","129.75","131.40","131.00","130.01","137.60","101.55",34914399,"4,53,92,19,050.25",198021
20-Dec-2023,EQ,"135.90","136.15","128.75","135.40","128.85","129.75","132.87","137.60","101.55",39495961,"5,24,77,06,866.60",201438
19-Dec-2023,EQ,"136.65","137.60","134.80","136.60","135.50","135.40","135.81","137.60","101.55",27726431,"3,76,54,16,442.20",167461
18-Dec-2023,EQ,"136.85","137.60","135.10","136.45","136.55","136.60","136.73","137.60","101.55",38461877,"5,25,88,16,795.55",259565
15-Dec-2023,EQ,"133.40","136.75","133.00","132.00","136.55","136.45","135.24","136.75","101.55",77377446,"10,46,44,13,045.45",292704
14-Dec-2023,EQ,"132.30","133.25","131.50","131.40","132.00","132.00","132.33","135.00","101.55",43372143,"5,73,93,57,415.20",185803
13-Dec-2023,EQ,"130.55","131.50","129.15","130.10","131.35","131.40","130.59","135.00","101.55",22767972,"2,97,31,83,996.20",146208
12-Dec-2023,EQ,"130.05","132.15","129.70","130.05","130.35","130.10","130.87","135.00","101.55",30696410,"4,01,71,98,896.85",155668
11-Dec-2023,EQ,"129.85","130.50","128.75","129.20","130.25","130.05","129.82","135.00","101.55",24038059,"3,12,05,31,964.30",144371
