DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO. OF  TRADES
2023-01-02,EQ,114.4,119.7,113.75,112.65,119.1,119.25,117.82,"1,386.70",95.0,143444095,"16,89,99,38,209.60",481935
2023-01-03,EQ,119.8,120.5,117.75,119.25,118.5,118.45,119.04,"1,386.70",95.0,74419090,"8,85,90,42,586.45",279140
2023-01-04,EQ,118.75,119.05,115.35,118.45,115.45,115.75,116.56,"1,386.70",95.0,55634568,"6,48,48,36,352.55",219447
2023-01-05,EQ,116.5,117.0,114.5,115.75,116.8,116.55,115.74,"1,386.70",95.0,58806907,"6,80,60,57,647.80",238074
2023-01-06,EQ,117.0,117.85,115.25,116.55,115.6,115.65,116.57,"1,386.70",95.0,58551863,"6,82,53,54,273.05",187180
2023-01-09,EQ,116.9,118.1,116.55,115.65,117.6,117.55,117.54,"1,386.70",95.0,37763131,"4,43,86,28,753.10",184045
2023-01-10,EQ,117.65,119.75,117.55,117.55,118.7,118.85,118.63,"1,386.70",95.0,56750710,"6,73,23,75,346.95",206267
2023-01-11,EQ,119.45,120.35,118.0,118.85,118.6,118.85,119.04,"1,386.70",95.0,49321252,"5,87,12,10,496.25",182298
2023-01-12,EQ,118.95,119.25,117.6,118.85,117.9,118.1,118.16,"1,386.70",95.0,33740024,"3,98,67,28,182.75",127108
2023-01-13,EQ,118.55,121.6,118.15,118.1,120.35,120.45,120.31,"1,386.70",95.0,68884010,"8,28,73,20,121.45",242859
2023-01-16,EQ,121.45,121.45,118.8,120.45,119.65,119.95,119.8,"1,386.70",95.0,44362359,"5,31,44,17,958.05",178138
2023-01-17,EQ,119.75,119.9,118.0,119.95,119.3,119.35,119.0,"1,386.70",95.0,27880531,"3,31,77,31,473.65",117336
2023-01-18,EQ,120.0,123.0,120.0,119.35,122.2,122.45,122.08,"1,386.70",95.0,64749065,"7,90,44,67,813.20",236724
2023-01-19,EQ,121.8,124.3,121.15,122.45,123.5,123.55,123.39,"1,386.70",95.0,53564076,"6,60,93,06,267.85",238773
2023-01-20,EQ,123.4,124.2,122.0,123.55,122.9,122.95,123.27,"1,386.70",95.0,37784498,"4,65,76,78,101.50",160324
2023-01-23,EQ,123.4,123.85,121.5,122.95,121.8,122.0,122.6,"1,386.70",95.0,28601260,"3,50,64,07,861.10",133056
2023-01-24,EQ,122.5,122.55,120.1,122.0,120.4,120.4,121.01,"1,386.70",95.0,27707765,"3,35,30,43,685.55",137675
2023-01-25,EQ,120.35,122.25,120.1,120.4,121.0,121.0,120.91,"1,386.70",95.0,46522102,"5,62,48,60,373.10",152844
2023-01-27,EQ,121.9,123.25,119.1,121.0,120.65,120.65,121.04,"1,386.70",95.0,58771746,"7,11,37,14,095.55",193540
2023-01-30,EQ,120.45,121.1,116.9,120.65,118.65,118.75,118.48,"1,386.70",95.0,46551837,"5,51,53,00,590.95",197879
2023-01-31,EQ,118.75,120.45,117.75,118.75,119.6,119.7,119.48,"1,386.70",95.0,43986769,"5,25,55,11,455.05",165252
