DATA,DATE,OPEN,HIGH,LOW,PREV_CLOSE,LTP,CLOSE,VWAP,52W_H,52W_L,VOLUME,VALUE,NO_OF__TRADES,DAILY_RETURN,MA_7,MA_14,MA_30,VOLATILITY,VOLUME_CHANGE
2023-01-02,2023-01-02,114.4,119.7,113.75,112.65,119.1,119.25,117.82,"1,386.70",95.0,143444095,"16,89,99,38,209.60",481935,,,,,,
2023-01-03,2023-01-03,119.8,120.5,117.75,119.25,118.5,118.45,119.04,"1,386.70",95.0,74419090,"8,85,90,42,586.45",279140,-0.006708595387840632,,,,,-0.4811979538091129
2023-01-04,2023-01-04,118.75,119.05,115.35,118.45,115.45,115.75,116.56,"1,386.70",95.0,55634568,"6,48,48,36,352.55",219447,-0.022794428028704128,,,,,-0.25241536815352084
2023-01-05,2023-01-05,116.5,117.0,114.5,115.75,116.8,116.55,115.74,"1,386.70",95.0,58806907,"6,80,60,57,647.80",238074,0.006911447084233302,,,,,0.05702100535767629
2023-01-06,2023-01-06,117.0,117.85,115.25,116.55,115.6,115.65,116.57,"1,386.70",95.0,58551863,"6,82,53,54,273.05",187180,-0.0077220077220075956,,,,,-0.004336973546321676
2023-01-09,2023-01-09,116.9,118.1,116.55,115.65,117.6,117.55,117.54,"1,386.70",95.0,37763131,"4,43,86,28,753.10",184045,0.016428880242109756,,,,,-0.35504817327503313
2023-01-10,2023-01-10,117.65,119.75,117.55,117.55,118.7,118.85,118.63,"1,386.70",95.0,56750710,"6,73,23,75,346.95",206267,0.011059123777116042,117.43571428571428,,,,0.5028073281317695
2023-01-11,2023-01-11,119.45,120.35,118.0,118.85,118.6,118.85,119.04,"1,386.70",95.0,49321252,"5,87,12,10,496.25",182298,0.0,117.37857142857142,,,0.013310775537840441,-0.13091392160556226
2023-01-12,2023-01-12,118.95,119.25,117.6,118.85,117.9,118.1,118.16,"1,386.70",95.0,33740024,"3,98,67,28,182.75",127108,-0.006310475389145975,117.32857142857142,,,0.013280161162255048,-0.3159130672514153
2023-01-13,2023-01-13,118.55,121.6,118.15,118.1,120.35,120.45,120.31,"1,386.70",95.0,68884010,"8,28,73,20,121.45",242859,0.019898391193903464,118.0,,,0.010830233424574549,1.0416111737205642
2023-01-16,2023-01-16,121.45,121.45,118.8,120.45,119.65,119.95,119.8,"1,386.70",95.0,44362359,"5,31,44,17,958.05",178138,-0.00415110004151098,118.48571428571428,,,0.01142374905805919,-0.3559846617524154
2023-01-17,2023-01-17,119.75,119.9,118.0,119.95,119.3,119.35,119.0,"1,386.70",95.0,27880531,"3,31,77,31,473.65",117336,-0.005002084201750745,119.01428571428572,,,0.010989788630213264,-0.3715273121521784
2023-01-18,2023-01-18,120.0,123.0,120.0,119.35,122.2,122.45,122.08,"1,386.70",95.0,64749065,"7,90,44,67,813.20",236724,0.025974025974025983,119.71428571428571,,,0.013097835494726305,1.3223756032480156
2023-01-19,2023-01-19,121.8,124.3,121.15,122.45,123.5,123.55,123.39,"1,386.70",95.0,53564076,"6,60,93,06,267.85",238773,0.008983258472845979,120.38571428571429,118.91071428571429,,0.012985207361265365,-0.1727436373019441
2023-01-20,2023-01-20,123.4,124.2,122.0,123.55,122.9,122.95,123.27,"1,386.70",95.0,37784498,"4,65,76,78,101.50",160324,-0.004856333468231444,120.97142857142856,119.175,,0.013457128584442849,-0.2945925549056424
2023-01-23,2023-01-23,123.4,123.85,121.5,122.95,121.8,122.0,122.6,"1,386.70",95.0,28601260,"3,50,64,07,861.10",133056,-0.007726718178121206,121.52857142857144,119.42857142857143,,0.01366341797095401,-0.24304247736730555
2023-01-24,2023-01-24,122.5,122.55,120.1,122.0,120.4,120.4,121.01,"1,386.70",95.0,27707765,"3,35,30,43,685.55",137675,-0.013114754098360604,121.52142857142857,119.76071428571427,,0.013246903698295375,-0.031239707621272594
2023-01-25,2023-01-25,120.35,122.25,120.1,120.4,121.0,121.0,120.91,"1,386.70",95.0,46522102,"5,62,48,60,373.10",152844,0.004983388704318914,121.67142857142858,120.07857142857142,,0.013217967716333474,0.6790275938892942
2023-01-27,2023-01-27,121.9,123.25,119.1,121.0,120.65,120.65,121.04,"1,386.70",95.0,58771746,"7,11,37,14,095.55",193540,-0.002892561983470987,121.85714285714286,120.43571428571428,,0.01307305597257779,0.26330805087010045
2023-01-30,2023-01-30,120.45,121.1,116.9,120.65,118.65,118.75,118.48,"1,386.70",95.0,46551837,"5,51,53,00,590.95",197879,-0.015748031496063075,121.32857142857142,120.52142857142857,,0.00899449658337144,-0.2079214900302605
